[2026-08-28 21:51:46] Decode batch, #running-req: 8, #token: 588, token usage: 0.00, accept len: 1.93, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 79.97, #queue-req: 0
[2026-08-28 21:51:47] Decode batch, #running-req: 8, #token: 1303, token usage: 0.00, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1794.32, #queue-req: 0
[2026-08-28 21:51:47] Decode batch, #running-req: 8, #token: 2093, token usage: 0.01, accept len: 2.47, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 1988.35, #queue-req: 0
[2026-08-28 21:51:48] Decode batch, #running-req: 1, #token: 0, token usage: 0.00, accept len: 2.44, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 795.16, #queue-req: 0
[2026-08-28 21:51:48] Decode batch, #running-req: 8, #token: 1087, token usage: 0.00, accept len: 1.95, accept rate: 0.49, cuda graph: True, gen throughput (token/s): 1358.49, #queue-req: 0
[2026-08-28 21:51:49] Decode batch, #running-req: 8, #token: 1793, token usage: 0.01, accept len: 2.21, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1777.06, #queue-req: 0
[2026-08-28 21:51:49] Decode batch, #running-req: 8, #token: 953, token usage: 0.00, accept len: 2.24, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1505.71, #queue-req: 0
[2026-08-28 21:51:49] Decode batch, #running-req: 8, #token: 1216, token usage: 0.00, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 1472.44, #queue-req: 0
[2026-08-28 21:51:50] Decode batch, #running-req: 8, #token: 1972, token usage: 0.01, accept len: 2.36, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 1899.37, #queue-req: 0
[2026-08-28 21:51:50] Decode batch, #running-req: 8, #token: 1094, token usage: 0.00, accept len: 2.32, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1527.69, #queue-req: 0
[2026-08-28 21:51:51] Decode batch, #running-req: 8, #token: 1188, token usage: 0.00, accept len: 2.11, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1555.88, #queue-req: 0
[2026-08-28 21:51:51] Decode batch, #running-req: 8, #token: 1884, token usage: 0.01, accept len: 2.17, accept rate: 0.54, cuda graph: True, gen throughput (token/s): 1753.95, #queue-req: 0
[2026-08-28 21:51:52] Decode batch, #running-req: 7, #token: 792, token usage: 0.00, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1424.23, #queue-req: 0
[2026-08-28 21:51:52] Decode batch, #running-req: 8, #token: 1310, token usage: 0.00, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1659.82, #queue-req: 0
[2026-08-28 21:51:52] Decode batch, #running-req: 8, #token: 2081, token usage: 0.01, accept len: 2.41, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 1940.43, #queue-req: 0
[2026-08-28 21:51:53] Decode batch, #running-req: 8, #token: 926, token usage: 0.00, accept len: 2.25, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1420.01, #queue-req: 0
[2026-08-28 21:51:53] Decode batch, #running-req: 8, #token: 1424, token usage: 0.00, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1798.49, #queue-req: 0
[2026-08-28 21:51:54] Decode batch, #running-req: 8, #token: 1821, token usage: 0.01, accept len: 2.20, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1765.83, #queue-req: 0
[2026-08-28 21:51:54] Decode batch, #running-req: 8, #token: 1255, token usage: 0.00, accept len: 2.06, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 1266.90, #queue-req: 0
[2026-08-28 21:51:55] Decode batch, #running-req: 8, #token: 1692, token usage: 0.00, accept len: 2.24, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1734.10, #queue-req: 0
[2026-08-28 21:51:55] Decode batch, #running-req: 8, #token: 2176, token usage: 0.01, accept len: 2.39, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 1828.16, #queue-req: 0
[2026-08-28 21:51:56] Decode batch, #running-req: 8, #token: 914, token usage: 0.00, accept len: 2.13, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 1327.51, #queue-req: 0
[2026-08-28 21:51:56] Decode batch, #running-req: 8, #token: 1628, token usage: 0.00, accept len: 2.23, accept rate: 0.56, cuda graph: True, gen throughput (token/s): 1797.72, #queue-req: 0
[2026-08-28 21:51:56] Decode batch, #running-req: 8, #token: 1402, token usage: 0.00, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1577.82, #queue-req: 0
[2026-08-28 21:51:57] Decode batch, #running-req: 8, #token: 1027, token usage: 0.00, accept len: 2.18, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1480.59, #queue-req: 0
[2026-08-28 21:51:57] Decode batch, #running-req: 8, #token: 1693, token usage: 0.00, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 1672.10, #queue-req: 0
[2026-08-28 21:51:58] Decode batch, #running-req: 4, #token: 1102, token usage: 0.00, accept len: 2.33, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 1645.32, #queue-req: 0
