[2026-08-28 21:47:05] Decode batch, #running-req: 1, #token: 112, token usage: 0.00, accept len: 1.07, accept rate: 0.27, cuda graph: True, gen throughput (token/s): 1.37, #queue-req: 0
[2026-08-28 21:47:05] Decode batch, #running-req: 1, #token: 174, token usage: 0.00, accept len: 1.55, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 174.83, #queue-req: 0
[2026-08-28 21:47:06] Decode batch, #running-req: 1, #token: 230, token usage: 0.00, accept len: 1.40, accept rate: 0.35, cuda graph: True, gen throughput (token/s): 156.08, #queue-req: 0
[2026-08-28 21:47:06] Decode batch, #running-req: 1, #token: 287, token usage: 0.00, accept len: 1.43, accept rate: 0.36, cuda graph: True, gen throughput (token/s): 159.84, #queue-req: 0
[2026-08-28 21:47:06] Decode batch, #running-req: 1, #token: 84, token usage: 0.00, accept len: 1.25, accept rate: 0.31, cuda graph: True, gen throughput (token/s): 129.34, #queue-req: 0
[2026-08-28 21:47:07] Decode batch, #running-req: 1, #token: 135, token usage: 0.00, accept len: 1.27, accept rate: 0.32, cuda graph: True, gen throughput (token/s): 143.53, #queue-req: 0
[2026-08-28 21:47:07] Decode batch, #running-req: 1, #token: 202, token usage: 0.00, accept len: 1.68, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 187.14, #queue-req: 0
[2026-08-28 21:47:07] Decode batch, #running-req: 1, #token: 271, token usage: 0.00, accept len: 1.73, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 192.43, #queue-req: 0
[2026-08-28 21:47:08] Decode batch, #running-req: 1, #token: 62, token usage: 0.00, accept len: 1.82, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 192.33, #queue-req: 0
[2026-08-28 21:47:08] Decode batch, #running-req: 1, #token: 115, token usage: 0.00, accept len: 1.32, accept rate: 0.33, cuda graph: True, gen throughput (token/s): 149.29, #queue-req: 0
[2026-08-28 21:47:09] Decode batch, #running-req: 1, #token: 175, token usage: 0.00, accept len: 1.50, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 168.33, #queue-req: 0
[2026-08-28 21:47:09] Decode batch, #running-req: 1, #token: 233, token usage: 0.00, accept len: 1.45, accept rate: 0.36, cuda graph: True, gen throughput (token/s): 162.43, #queue-req: 0
[2026-08-28 21:47:09] Decode batch, #running-req: 1, #token: 287, token usage: 0.00, accept len: 1.35, accept rate: 0.34, cuda graph: True, gen throughput (token/s): 151.29, #queue-req: 0
[2026-08-28 21:47:10] Decode batch, #running-req: 1, #token: 102, token usage: 0.00, accept len: 1.27, accept rate: 0.32, cuda graph: True, gen throughput (token/s): 131.40, #queue-req: 0
[2026-08-28 21:47:10] Decode batch, #running-req: 1, #token: 154, token usage: 0.00, accept len: 1.30, accept rate: 0.33, cuda graph: True, gen throughput (token/s): 143.33, #queue-req: 0
[2026-08-28 21:47:10] Decode batch, #running-req: 1, #token: 211, token usage: 0.00, accept len: 1.43, accept rate: 0.36, cuda graph: True, gen throughput (token/s): 157.89, #queue-req: 0
[2026-08-28 21:47:11] Decode batch, #running-req: 1, #token: 262, token usage: 0.00, accept len: 1.27, accept rate: 0.32, cuda graph: True, gen throughput (token/s): 143.00, #queue-req: 0
[2026-08-28 21:47:11] Decode batch, #running-req: 1, #token: 59, token usage: 0.00, accept len: 1.82, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 192.91, #queue-req: 0
[2026-08-28 21:47:11] Decode batch, #running-req: 1, #token: 111, token usage: 0.00, accept len: 1.30, accept rate: 0.33, cuda graph: True, gen throughput (token/s): 147.12, #queue-req: 0
